Year,Number,DE_00,DE_01,DE_02,MD_00,MD_01,MD_02,MD_03,MD_04,MD_05,MD_06,MD_07,MD_08,PA_00,PA_01,PA_02,PA_03,PA_04,PA_05,PA_06,PA_07,PA_08,PA_09,PA_10,VA_00,VA_01,VA_02,VA_03,VA_04,VA_05,VA_06,WV_00,WV_01,WV_02,WV_03,WV_04,WV_05,WV_06
1989,20,56.6,55.31,56.95,50.16,53.92,56.05,51.33,51.29,54.83,47.83,39.65,50.68,44.15,44.92,46.34,50.49,41.84,41.19,37.8,41.1,43.41,45.9,45.93,50.58,54.17,50.71,53.61,42.69,47.36,51.57,53.03,54.37,56.54,57,55.61,47.39,38.53
1990,21,43.02,44.01,42.76,43.86,41.47,45.51,47.34,45.15,46.47,43.62,36.47,46.5,43.13,46.47,46.13,42.87,39.08,41.3,37.82,43.71,37.88,43.65,48.03,42.23,43.9,41.37,43.32,39.4,38.81,44.64,45.06,47.35,48.56,43.9,48.74,42.15,34.68
1991,22,42.07,41.8,42.15,38.44,41.75,39.18,35.35,35.65,39.3,39.06,35.05,40.24,39.49,41.12,43.33,41.37,38.16,39.87,37.28,40,36.3,38.78,40.09,43.09,39.87,40.73,47.35,37.39,44.39,47.55,44.69,45.87,46.21,46.1,47.23,43.32,34.23
1992,23,39.74,36.62,40.6,40.61,44.17,41.36,44.94,40.95,35.44,39.51,36.29,41.94,39.71,41.37,42.88,37.11,37.33,38.38,39,40.31,34.33,39.24,44.29,42.1,45.25,39.3,41.19,41.19,40.98,44,44,39.42,45.34,45.02,47.53,41.21,35.76
1993,24,41.74,45.41,40.7,44.52,43.35,40.34,42.35,43.05,38.75,48.26,43.83,47.46,44.91,44.15,50.39,48.07,49.01,45.87,42.51,45.23,44.4,41.53,44.94,44.33,42.69,44.48,47.71,44.6,42.66,43.6,41.36,38.19,41.65,40.42,43.93,39.15,39.67
1994,25,52.88,49.53,53.82,50.77,48.38,51.92,53.53,52.48,49.56,50.33,46.16,55.93,51.12,54.35,56.61,52.65,49.66,51.97,50.68,52.63,47.19,48.84,51.03,50.27,48.26,52.25,49.98,51.02,46.52,52.5,54.7,50.97,58.88,54.78,58.62,47.56,46.56
1995,26,31.93,31.98,31.91,33.01,31.86,32.37,30.53,31.93,31.93,33.94,32.49,38.55,32.77,31.78,35.2,33.89,34.89,30.76,29.43,31.66,31.8,33.88,33.99,38.75,35.8,38.73,42.46,35.69,39.39,39.78,39.67,37.95,40.43,42.21,40.66,37.46,34.01
1996,27,56.01,55.23,56.24,58.23,54.72,53.83,53.94,55.82,58.56,61.08,59.56,65.85,55.42,57.5,59.74,57.15,60.19,56.66,50.07,54.82,58.63,52.49,54.81,55.43,54.22,53.33,57.71,59.73,57.14,52.56,59.43,56,62.11,55.23,64.78,51.16,58.94
1997,28,43.37,42.88,43.5,41.36,41.68,44.57,41.2,41.7,43.6,40.5,35.27,45.04,42.89,45.74,51.07,45.12,39.39,41.81,39.52,42.3,40.37,41.75,44.84,40.44,39.84,41.27,41.2,38.34,38.42,42.23,43.76,44.21,47.07,43.68,46.99,38.95,35.15
1998,29,47.53,40.72,49.45,48.93,51.83,49.26,49.02,47.16,48.39,48.27,46.52,52.37,44.42,47.17,49.08,45.44,49.8,47.77,43.27,42.77,47.43,42.7,39.65,49.27,52.82,49.75,49.35,47.85,48.18,46.96,48.19,44.98,49.37,46.86,52.06,43.99,44.56
1999,30,43.28,45.32,42.7,41.25,42.67,45.82,40.94,41.11,46.02,41.82,32.12,35.72,38.74,41.2,43.6,43.36,37.5,40.99,37.09,37.55,34.52,37.1,38.16,41.96,51.46,44.75,41.11,37.62,35.44,38.07,35.54,34.89,35.52,34.33,38.65,35.84,30.04
2000,31,49.32,48.18,49.63,46.51,48.97,48.28,47.51,47.13,49.2,45.74,40.12,46.2,42.01,43.67,46.32,45.58,42.19,40.32,40.13,39.68,38.28,42.76,42.43,43.31,50.41,43.03,42.04,39.54,42.92,40.68,47.08,46.08,49.03,47.63,50.94,42.57,38.2
2001,32,41.3,38.04,42.22,37.37,37.74,41.8,38.62,38.85,40.88,35.61,30.21,39.63,34.89,37.79,41.57,37.98,30.23,34.23,37.28,33.78,31.14,34.26,34.14,35.09,35.56,34.76,32.6,35.48,32.31,39.09,39.78,37.3,42.56,37.39,43.9,38,32.53
2002,33,33.13,30.54,33.87,30.43,31.5,28.79,25.64,28.03,29.59,30.46,31.47,41.5,38.27,38.51,36.26,32.2,31.59,35.77,37.36,40.41,35.39,39.88,44.68,31.75,31.83,29.31,29.82,30.2,31.02,37.55,40.67,40.02,41.91,40.28,44.09,37.6,34.23
